序号,评论ID,评论内容,是否有效,信号类型,讨论主题,用户需求,用户顾虑,目标人群,使用场景,人工复核状态,复核人,备注
30,C-0030,无糖乌龙茶加香精算健康饮料吗?,是,高频疑问,无糖饮料选择,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
31,C-0031,配料越短就一定越好吗?,是,观点分歧/高频疑问,配料与营养标签,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
32,C-0032,想看便利店能买到的无糖饮料红黑榜。,是,对比需求/隐藏场景,产品横向对比,需要可执行的选择依据,缺少统一比较标准,关注健康饮品的消费者,便利店即时购买,待人工复核,,系统预标注，不计入已完成人工标注
33,C-0033,"聚餐时点无糖饮料,朋友总说是在自我安慰。",是,观点分歧/隐藏场景/需求矛盾,无糖饮料选择,希望获得无糖或低负担的收益,担心替代方案带来新的代价,关注健康饮品的消费者,聚餐佐餐,待人工复核,,系统预标注，不计入已完成人工标注
34,C-0034,"戒糖第一周用零糖汽水过渡,确实容易坚持。",是,隐藏场景,无糖饮料选择,需要场景化选择建议,通用建议无法覆盖具体使用条件,关注健康饮品的消费者,戒糖过渡期,待人工复核,,系统预标注，不计入已完成人工标注
35,C-0035,无糖饮料能不能帮助戒掉甜味依赖?,是,高频疑问,代糖安全与甜味,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
36,C-0036,早上空腹喝零糖咖啡会刺激胃吗?,是,隐藏场景/高频疑问,肠胃耐受,需要清晰、可核验的解释,现有内容没有直接回答,肠胃敏感人群,早晨空腹,待人工复核,,系统预标注，不计入已完成人工标注
37,C-0037,乳糖不耐受的人选无糖乳饮料要看什么?,是,高频疑问,肠胃耐受,需要清晰、可核验的解释,现有内容没有直接回答,肠胃敏感人群,,待人工复核,,系统预标注，不计入已完成人工标注
38,C-0038,"果汁写着无添加糖,和无糖是一个意思吗?",是,高频疑问,配料与营养标签,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
39,C-0039,每100毫升糖低于多少才可以标无糖?,是,高频疑问,无糖饮料选择,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
40,C-0040,希望解释营养成分表的零和配料表代糖怎么一起看。,是,高频疑问,代糖安全与甜味,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
41,C-0041,同一品牌普通版和零糖版到底差多少热量?,是,对比需求/观点分歧/高频疑问,减脂与热量,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
42,C-0042,"代糖安全剂量普通人怎么理解,别只说抛开剂量谈毒性。",是,高频疑问,代糖安全与甜味,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
43,C-0043,有痛风的人能喝无糖果味饮料吗?,是,高频疑问,特殊人群适用性,需要清晰、可核验的解释,现有内容没有直接回答,特殊健康需求人群,,待人工复核,,系统预标注，不计入已完成人工标注
44,C-0044,"晚上加班嘴馋,想找没有咖啡因的无糖饮料。",是,隐藏场景,咖啡因与睡眠,需要场景化选择建议,通用建议无法覆盖具体使用条件,关注健康饮品的消费者,晚间或加班,待人工复核,,系统预标注，不计入已完成人工标注
45,C-0045,无糖可乐放久了为什么甜味变化很明显?,是,高频疑问,代糖安全与甜味,需要清晰、可核验的解释,现有内容没有直接回答,关注健康饮品的消费者,,待人工复核,,系统预标注，不计入已完成人工标注
46,C-0046,"冰镇时好喝,常温时代糖味太重了。",是,隐藏场景,代糖安全与甜味,需要场景化选择建议,通用建议无法覆盖具体使用条件,关注健康饮品的消费者,不同饮用温度,待人工复核,,系统预标注，不计入已完成人工标注
47,C-0047,餐前喝和餐后喝对血糖反应有区别吗?,是,隐藏场景/高频疑问,控糖与血糖,需要清晰、可核验的解释,现有内容没有直接回答,控糖人群,用餐前后,待人工复核,,系统预标注，不计入已完成人工标注
48,C-0048,"我只想知道哪些人不适合喝,不要一概说健康或不健康。",是,,,,,,,待人工复核,,系统预标注，不计入已完成人工标注
49,C-0049,想看医生和食品工程师一起解释代糖。,是,,,,,,,待人工复核,,系统预标注，不计入已完成人工标注
50,C-0050,哈哈哈,否,,,,,,,待人工复核,,系统预标注，不计入已完成人工标注
51,C-0051,1,否,,,,,,,待人工复核,,系统预标注，不计入已完成人工标注
52,C-0052,👍👍👍,否,,,,,,,待人工复核,,系统预标注，不计入已完成人工标注
53,C-0053,,否,,,,,,,待人工复核,,系统预标注，不计入已完成人工标注
54,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
55,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
56,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
57,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
58,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
59,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
60,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
61,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
62,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
63,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
64,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
65,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
66,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
67,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
68,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
69,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
70,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
71,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
72,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
73,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
74,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
75,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
76,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
77,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
78,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
79,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
80,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
81,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
82,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
83,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
84,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
85,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
86,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
87,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
88,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
89,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
90,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
91,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
92,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
93,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
94,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
95,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
96,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
97,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
98,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
99,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
100,,,,,,,,,,待补充真实评论,,补充匿名真实评论后再进行人工标注
